feature,absolute_held,relative_held
bio_vgpm,8361091.316510548,0.3129262650109265
nspp_bivalves,12585,0.4459129079119867
nspp_chitons,1121,0.3002946691668899
nspp_coastal.fishes,5917318,0.30001031752892393
nspp_corals,23089,0.402970487111018
nspp_crustaceans,469252,0.32785318388275725
nspp_echinoderms,27562,0.3592497490908617
nspp_euphausiids,9755,0.4847686726631218
nspp_gastropods,26255,0.4173754073603052
nspp_hydrozoans,14866,0.4337272064186725
nspp_non.squid.cephalopods,173420,0.3100905488720729
nspp_pinnipeds,24300,0.4552096212206362
nspp_reptiles,8480,0.4008319152958971
nspp_sea.spiders,92487,0.3874336557513709
nspp_seagrasses,22,0.7333333333333333
nspp_sharks,225873,0.32915537291247704
nspp_sponges,3797,0.5017840623761067
nspp_tunas.n.billfishes,173395,0.3000126306537315
nspp_tunicates,200538,0.3532756807415798
nspp_worms,33952,0.3947906976744186
rls_bivalves,52,0.8666666666666667
rls_coastal.fishes,58222,0.3000298885877127
rls_corals,1379,0.7547892720306514
rls_echinoderms,212,0.7794117647058824
rls_non.squid.cephalopods,126,0.3
rls_pinnipeds,960,0.3005635566687539
rls_reptiles,16927,0.4004210725522201
rls_sharks,279347,0.3180201595183938
rls_tunas.n.billfishes,145516,0.3111636669225555
phys_seamounts,5335,0.3128114922310173
phys_vents,86,0.3115942028985507
phys_scape.1,14017906.402215606,0.3000297211016232
phys_scape.2,16126289.976390358,0.3000005447890186
phys_scape.3,10922190.188549858,0.3000300598667249
phys_scape.4,9223372.441849288,0.30001527592766525
phys_scape.5,6824902.091400473,0.3000024318699302
phys_scape.6,1603307.397398925,0.3000134316790055
phys_scape.7,258346.20347081628,0.30045460900434956
phys_scape.8,905153.6899187028,0.3000404057353176
phys_scape.9,411546.8814977981,0.30006327799366883
phys_scape.10,11346.250604319242,0.3191446465769365
phys_scape.11,1964091.183698152,0.30000066629294625
sea_Arctic,3332,0.30004502476362
sea_Indian,5815,0.3000980543943851
sea_N_Atlantic,2688,0.3000669792364367
sea_N_Pacific,5079,0.30003544423440454
sea_S_Atlantic,3648,0.300049350222076
sea_S_Pacific,6272,0.3000669792364367
sea_Southern,4693,0.49930843706777317
